Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
Japan.JPG,1,55,30,6.00,11,0.12,11.20,0.00,153,240,0,0.10,
Japan.JPG,1,55,30,6.50,11,0.04,8.68,0.00,147,260,0,0.03,
Japan.JPG,1,55,30,7.00,11,0.02,6.39,0.00,143,280,0,0.02,
Japan.JPG,1,55,30,7.50,11,0.00,5.13,0.00,139,300,0,0.00,
Japan.JPG,1,55,30,8.00,11,0.00,4.26,0.00,135,320,0,0.00,
Japan.JPG,1,55,30,8.50,11,0.00,2.02,0.00,133,340,0,0.00,
Japan.JPG,1,55,30,9.00,11,0.00,1.72,0.00,131,360,0,0.00,
Japan.JPG,1,55,30,9.50,11,0.00,0.40,0.00,129,380,0,0.00,
Netherlands.JPG,1,55,30,0.00,11,17.54,52.80,6.82,0,0,0,1.00,
Netherlands.JPG,1,55,30,0.50,11,15.77,44.60,6.28,20,20,20,1.00,
Netherlands.JPG,1,55,30,1.00,11,14.08,62.94,5.07,40,40,40,1.00,
Netherlands.JPG,1,55,30,1.50,11,12.31,33.10,4.11,60,60,60,1.00,
Netherlands.JPG,1,55,30,2.00,11,10.58,35.80,3.12,80,80,80,1.00,
Netherlands.JPG,1,55,30,2.50,11,8.97,32.85,1.88,100,100,100,1.00,
Netherlands.JPG,1,55,30,3.00,11,7.14,26.12,1.00,120,120,60,1.00,
Netherlands.JPG,1,55,30,3.50,11,5.46,26.38,0.05,140,140,70,1.00,
Netherlands.JPG,1,55,30,4.00,11,3.74,24.50,0.00,158,160,0,0.99,
Netherlands.JPG,1,55,30,4.50,11,2.37,22.06,0.00,172,180,0,0.92,
Netherlands.JPG,1,55,30,5.00,11,1.22,12.18,0.00,179,200,0,0.70,
Netherlands.JPG,1,55,30,5.50,11,0.56,16.22,0.00,177,220,0,0.40,
Netherlands.JPG,1,55,30,6.00,11,0.25,12.26,0.00,171,240,0,0.18,
Netherlands.JPG,1,55,30,6.50,11,0.10,14.98,0.00,164,260,0,0.08,
Netherlands.JPG,1,55,30,7.00,11,0.04,6.63,0.00,156,280,0,0.03,
Netherlands.JPG,1,55,30,7.50,11,0.01,5.31,0.00,151,300,0,0.01,
Netherlands.JPG,1,55,30,8.00,11,0.01,8.44,0.00,146,320,0,0.00,
Netherlands.JPG,1,55,30,8.50,11,0.00,5.42,0.00,143,340,0,0.00,
Netherlands.JPG,1,55,30,9.00,11,0.00,10.69,0.00,140,360,0,0.00,
Netherlands.JPG,1,55,30,9.50,11,0.00,0.00,0.00,137,380,0,0.00,
NewZealand.JPG,1,55,30,0.00,11,21.27,45.36,9.85,0,0,0,1.00,
NewZealand.JPG,1,55,30,0.50,11,19.37,44.91,8.04,20,20,20,1.00,
